index,magnitude,phase_angle,is_predicted,,,Magnitude01,Angle01
191,24755.84961,-2.962191785,FALSE,,,24755.85008,-2.962191801
192,24765.00586,-2.721549493,FALSE,,,24765.00535,-2.721549527
193,24765.00586,-2.480907201,FALSE,,,24765.00535,-2.480907253
194,24765.00586,-2.240264909,FALSE,,,24765.00535,-2.240264979
195,24765.00586,-2.005352291,FALSE,,,24765.00535,-2.005352283
196,24765.00586,-1.770439568,FALSE,,,24765.00535,-1.770439587
197,24765.00586,-1.541256519,FALSE,,,24765.00535,-1.541256469
198,24764.97656,-1.317799089,TRUE,,,24765.00535,-1.312073351
199,24774.16016,-1.082890208,FALSE,,,24774.16062,-1.082890233
200,24774.16016,-0.853707105,FALSE,,,24774.16062,-0.853707115
201,24765.00586,-0.630253571,FALSE,,,24765.00535,-0.630253575
202,24774.16016,-0.395340874,FALSE,,,24774.16062,-0.395340879
203,24774.16016,-0.160428177,FALSE,,,24774.16062,-0.160428183
204,24774.16016,0.068754939,FALSE,,,24774.16062,6.88E-02
205,24774.16016,0.297938054,FALSE,,,24774.16062,0.297938053
206,24774.16016,0.08594367,FALSE,,,24774.16062,8.59E-02
207,24776.27734,-0.567185099,TRUE,,,24774.16062,0.315126787
208,24774.16016,0.555769078,FALSE,,,24774.16062,0.555769061
209,24774.16016,0.779222612,FALSE,,,24774.16062,0.779222601
210,24774.16016,1.025594419,FALSE,,,24774.16062,1.025594453
211,24774.16016,1.254777574,FALSE,,,24774.16062,1.254777571
212,24774.07031,1.466776934,TRUE,,,24783.31589,1.495419845
213,24783.31641,1.724602915,FALSE,,,24783.31589,1.724602963
214,24783.31641,1.959515746,FALSE,,,24783.31589,1.959515659
215,24783.31641,2.194428363,FALSE,,,24783.31589,2.194428355
216,24783.31641,2.435070655,FALSE,,,24783.31589,2.435070629
217,24783.31641,2.658524136,FALSE,,,24783.31589,2.658524169
218,24783.22852,2.864793287,TRUE,,,24783.31589,2.899166443
219,24783.31641,3.13980872,FALSE,,,24783.31589,3.139808717
220,24783.31641,3.374721337,FALSE,,,24783.31589,3.374721413
221,24783.31641,3.609634167,FALSE,,,24783.31589,3.609634109
222,24783.31641,3.844551267,TRUE,,,24783.31589,3.827358071
223,24783.31641,4.068000479,FALSE,,,24783.31589,4.068000345
224,24785.63672,4.749774594,TRUE,,,24783.31589,4.308642619
225,24783.31641,4.549285063,FALSE,,,24783.31589,4.549284893
226,24783.31641,4.789927141,FALSE,,,24783.31589,4.789927167
227,24783.31641,5.024839972,FALSE,,,24783.31589,5.024839863
228,24783.31641,5.259752376,FALSE,,,24783.31589,5.259752559
229,24783.31641,5.494665206,FALSE,,,24783.31589,5.494665255
230,24783.31641,5.729578037,FALSE,,,24783.31589,5.729577951
231,24783.31641,5.958761192,FALSE,,,24783.31589,5.958761069
232,24783.31641,6.187944348,FALSE,,,24783.31589,6.187944187
233,24783.31641,6.405668154,FALSE,,,24783.31589,6.40566815
234,24783.31641,6.634851309,FALSE,,,24783.31589,6.634851268
235,24774.16016,6.86976414,FALSE,,,24774.16062,6.869763964
236,24783.31641,7.104676544,FALSE,,,24783.31589,7.10467666
237,24783.31641,7.339588947,FALSE,,,24783.31589,7.339589356
238,24783.31641,7.56877253,FALSE,,,24783.31589,7.568772474
239,24783.31641,7.797955258,FALSE,,,24783.31589,7.797955592
240,24783.31641,8.015679491,FALSE,,,24783.31589,8.015679554
241,24783.31641,8.25632157,FALSE,,,24783.31589,8.256321828
