112 : 43521 | Magnitude: 24792.4375 | Phase_angle: -20.46630326301178
113 : 113 | Magnitude: 24774.16015625 | Phase_angle: -20.231139849888244
114 : 43521 | Magnitude: 24767.416015625 | Phase_angle: -19.537394120795465
115 : 115 | Magnitude: 24765.005859375 | Phase_angle: -19.772772684877857
116 : 116 | Magnitude: 24774.16015625 | Phase_angle: -19.52067211015998
117 : 117 | Magnitude: 24774.16015625 | Phase_angle: -19.280029177774797
118 : 118 | Magnitude: 24774.16015625 | Phase_angle: -19.050847302816898
119 : 119 | Magnitude: 24774.16015625 | Phase_angle: -18.821663720311705
120 : 120 | Magnitude: 24774.16015625 | Phase_angle: -18.581020787926523
121 : 121 | Magnitude: 24774.16015625 | Phase_angle: -18.340379563088632
122 : 122 | Magnitude: 24774.16015625 | Phase_angle: -18.105467159417092
123 : 123 | Magnitude: 24774.16015625 | Phase_angle: -17.87055304819826
124 : 124 | Magnitude: 24774.16015625 | Phase_angle: -17.652828815573056
125 : 125 | Magnitude: 24774.16015625 | Phase_angle: -17.435106290495145
126 : 126 | Magnitude: 24774.16015625 | Phase_angle: -17.20019217927631
127 : 127 | Magnitude: 24765.005859375 | Phase_angle: -16.9824696541984
128 : 128 | Magnitude: 24774.16015625 | Phase_angle: -16.764745421573195
129 : 129 | Magnitude: 24774.16015625 | Phase_angle: -16.535561839068002
130 : 130 | Magnitude: 24774.16015625 | Phase_angle: -16.32356813515644
131 : 131 | Magnitude: 24765.005859375 | Phase_angle: -16.082925202771257
132 : 132 | Magnitude: 24765.005859375 | Phase_angle: -15.853741620266064
133 : 133 | Magnitude: 24774.16015625 | Phase_angle: -15.613100395428175
134 : 134 | Magnitude: 24774.16015625 | Phase_angle: -15.395376162802972
135 : 135 | Magnitude: 24774.16015625 | Phase_angle: -15.171923109011418
136 : 43521 | Magnitude: 24774.189453125 | Phase_angle: -14.942737818958934
137 : 137 | Magnitude: 24774.16015625 | Phase_angle: -14.725015293881022
138 : 138 | Magnitude: 24774.16015625 | Phase_angle: -14.50156224008947
139 : 43521 | Magnitude: 24773.029296875 | Phase_angle: -14.501550287258421
140 : 43521 | Magnitude: 24770.76953125 | Phase_angle: -14.725010171239145
141 : 141 | Magnitude: 24774.16015625 | Phase_angle: -13.831201371167522
142 : 142 | Magnitude: 24774.16015625 | Phase_angle: -13.602017788662328
143 : 143 | Magnitude: 24774.16015625 | Phase_angle: -13.37283505993078
144 : 144 | Magnitude: 24765.005859375 | Phase_angle: -13.143651477425589
145 : 145 | Magnitude: 24765.005859375 | Phase_angle: -12.920198423634037
146 : 146 | Magnitude: 24774.16015625 | Phase_angle: -12.702474191008832
147 : 147 | Magnitude: 24774.16015625 | Phase_angle: -12.943116269620369
148 : 148 | Magnitude: 24774.16015625 | Phase_angle: -12.731122565708805
149 : 43521 | Magnitude: 24776.33203125 | Phase_angle: -12.066538329277394
150 : 150 | Magnitude: 24774.16015625 | Phase_angle: -12.272756254472066
151 : 151 | Magnitude: 24774.16015625 | Phase_angle: -12.055032021846861
152 : 43521 | Magnitude: 24772.974609375 | Phase_angle: -12.077937061228498
153 : 153 | Magnitude: 24774.16015625 | Phase_angle: -11.613854735430104
154 : 154 | Magnitude: 24774.16015625 | Phase_angle: -11.384671152924913
155 : 155 | Magnitude: 24774.16015625 | Phase_angle: -11.161218099133361
156 : 43521 | Magnitude: 24774.130859375 | Phase_angle: -10.943492158960863
157 : 43521 | Magnitude: 24774.044921875 | Phase_angle: -10.731488209765546
158 : 158 | Magnitude: 24774.16015625 | Phase_angle: -10.485127555271417
159 : 159 | Magnitude: 24774.16015625 | Phase_angle: -10.261674501479865
160 : 43521 | Magnitude: 24771.87109375 | Phase_angle: -10.490845277380364
161 : 43521 | Magnitude: 24769.638671875 | Phase_angle: -11.172779048077253
162 : 162 | Magnitude: 24774.16015625 | Phase_angle: -9.602772982437905
163 : 163 | Magnitude: 24774.16015625 | Phase_angle: -9.373589399932712
164 : 164 | Magnitude: 24774.16015625 | Phase_angle: -9.15013634614116
165 : 165 | Magnitude: 24774.16015625 | Phase_angle: -8.932412113515955
166 : 166 | Magnitude: 24774.16015625 | Phase_angle: -8.720417555830746
167 : 167 | Magnitude: 24765.005859375 | Phase_angle: -8.502693323205541
168 : 168 | Magnitude: 24765.005859375 | Phase_angle: -8.284969944353984
169 : 169 | Magnitude: 24765.005859375 | Phase_angle: -8.072975386668775
170 : 43521 | Magnitude: 24764.978515625 | Phase_angle: -7.866706235055329
171 : 171 | Magnitude: 24765.005859375 | Phase_angle: -7.631798100252019
172 : 172 | Magnitude: 24765.005859375 | Phase_angle: -7.402614517746826
173 : 173 | Magnitude: 24765.005859375 | Phase_angle: -7.17343178901528
174 : 174 | Magnitude: 24765.005859375 | Phase_angle: -6.944248633396909
175 : 175 | Magnitude: 24765.005859375 | Phase_angle: -6.7150654777785395
176 : 176 | Magnitude: 24765.005859375 | Phase_angle: -6.491611997100165
177 : 177 | Magnitude: 24765.005859375 | Phase_angle: -6.273887764474961
178 : 178 | Magnitude: 24765.005859375 | Phase_angle: -6.061893633676574
179 : 179 | Magnitude: 24765.005859375 | Phase_angle: -5.84416940105137
180 : 180 | Magnitude: 24765.005859375 | Phase_angle: -5.632175270252984
181 : 181 | Magnitude: 24765.005859375 | Phase_angle: -5.420180712567774
182 : 182 | Magnitude: 24755.849609375 | Phase_angle: -5.2253751797025485
183 : 183 | Magnitude: 24755.849609375 | Phase_angle: -5.001921699024173
184 : 184 | Magnitude: 24755.849609375 | Phase_angle: -4.7956568162789575
185 : 185 | Magnitude: 24755.849609375 | Phase_angle: -4.560743985720594
186 : 186 | Magnitude: 24755.849609375 | Phase_angle: -4.331560830102224
187 : 187 | Magnitude: 24765.005859375 | Phase_angle: -4.102377674483854
188 : 43521 | Magnitude: 24783.318359375 | Phase_angle: -3.873444674543836
189 : 189 | Magnitude: 24755.849609375 | Phase_angle: -3.655470713127104
190 : 190 | Magnitude: 24755.849609375 | Phase_angle: -3.4320172324487284
