chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:13.983000000,2014-01-28 23:00:13.983000000,12,22,4096,60.034999999999997,-0.001,253756.61859000003,-9.3506712165350354,260861.10811000003,-128.94415179419178,255779.93326000002,112.3971306708136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14,2014-01-28 23:00:14,12,22,4096,60.034999999999997,0,253802.39494000003,-9.1444064102879388,260797.02122000002,-128.73215740999336,255779.93326000002,112.61485463296331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.017000000,2014-01-28 23:00:14.017000000,12,22,4096,60.033000000000001,-0.002,253802.39494000003,-9.1444064102879388,260769.55541000003,-128.72069825409076,255789.08853000001,112.62631378886593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.033000000,2014-01-28 23:00:14.033000000,12,22,4096,60.009999999999998,-0.023,253765.77386000002,-8.9438711819921508,260760.40014000001,-128.52016302579497,255779.93326000002,112.81538986125909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.050000000,2014-01-28 23:00:14.050000000,12,22,4096,60.020000000000003,0.01,253747.46332000001,-8.7318767977937473,260778.71068000002,-128.31389821954787,255798.24380000003,113.01592508955488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.067000000,2014-01-28 23:00:14.067000000,12,22,4096,60.042000000000002,2.1999999999999999E-2,253729.15278000003,-8.5256119915466506,260797.02122000002,-128.11336299125207,255770.77799000003,113.21646031785068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.083000000,2014-01-28 23:00:14.083000000,12,22,4096,60.034999999999997,-7.0000000000000001E-3,253701.68697000001,-8.3250767632508627,260778.71068000002,-127.9128277629563,255697.53583000001,113.42845470204908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.100000000,2014-01-28 23:00:14.100000000,12,22,4096,60.033999999999999,-0.001,253738.30805000002,-8.1130823790524573,260751.24487000002,-127.70083337875789,255697.53583000001,113.6461786641988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.117000000,2014-01-28 23:00:14.117000000,12,22,4096,60.033000000000001,0.001,253747.46332000001,-7.7005527665582649,260723.77906000003,-127.28257418831238,255743.31218000001,114.04724912079037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.150000000,2014-01-28 23:00:14.150000000,12,22,4096,60.033999999999999,0.001,253665.06589000003,-7.5000175382624761,260696.31325000004,-127.09349811591922,255734.15691000002,114.24778434908616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:14.167000000,2014-01-28 23:00:14.167000000,12,22,4096,60.033999999999999,0,253628.44481000002,-7.3109414658693046,260696.31325000004,-126.90442204352604,255670.07002000001,114.43686042147932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
