magnitude	orig
12469.47754	12496.94355
12469.47754	12506.09882
12464.25	12506.09882
12478.18652	12496.94355
12496.94336	12496.94355
12506.09863	12496.94355
12506.09863	12496.94355
12496.94336	12496.94355
12492.6709	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12498.88477	12487.78828
12496.94336	12487.78828
12496.94336	12487.78828
12496.94336	12487.78828
12485.72559	12487.78828
12487.78809	12487.78828
12487.78809	12487.78828
12487.78809	12496.94355
12487.78809	12496.94355
12487.78711	12496.94355
12487.78711	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12495.56934	12496.94355
12496.94336	12496.94355
12496.94336	12496.94355
12496.94336	12487.78828
12496.94336	12469.47774
12496.94336	12487.78828
12496.94336	12496.94355
12496.94336	12487.78828
12487.78516	12487.78828
12485.8623	12487.78828
12496.94336	12487.78828
12486.61621	12469.47774
12487.78809	12460.32247
12487.78711	12460.32247
12485.10059	12460.32247
12460.27051	12469.47774
