chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,Magnitude17,Angle17,Magnitude18,Angle18,Magnitude19,Angle19,Magnitude20,Angle20,Magnitude21,Angle21,Magnitude22,Angle22,Magnitude23,Angle23,Magnitude24,Angle24,DIModule01
2014-01-28 18:00:16.517000000,2014-01-28 23:00:16.517000000,2,22,4096,60.039000000000001,-0.001,12423.70139,-6.1421075638024254,12460.322470000001,-125.96477125951149,12414.546120000001,113.77795895707888,49621.563400000006,54.196077841424575,49841.289880000004,-66.044845044729996,49639.873940000005,173.89842040015617,0,0,0,0,0,0,323.17856,-15.23494777252859,265.50080000000003,-131.08128437002975,335.99584000000004,97.219478677798094,232.54208000000003,1.3178029288008934,235.74640000000002,-121.85093429047218,222.47136,120.86544688284717,41.198400000000007,-105.14348498445737,36.620800000000003,153.34642428881352,45.776000000000003,29.765157457046268,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.533000000,2014-01-28 23:00:16.533000000,2,22,4096,60.036999999999999,-0.002,12423.70139,-5.9129244457500958,12460.322470000001,-125.74131771941047,12414.546120000001,113.9956829192286,49630.718670000002,54.436720115379515,49841.289880000004,-65.804202770775049,49639.873940000005,174.1390626741111,0,0,0,0,0,0,322.72080000000005,-14.891173095450096,265.50080000000003,-130.68021391343817,341.03120000000001,97.557523776925279,229.33776000000003,1.1573747461642629,233.45760000000001,-121.76499062120256,221.09808000000001,120.60761587503829,41.198400000000007,-104.75387368376842,36.620800000000003,153.74749474540511,46.233760000000004,29.959963107390749,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.550000000,2014-01-28 23:00:16.550000000,2,22,4096,60.034999999999997,-0.002,12423.70139,-5.7009300615516914,12460.322470000001,-125.51213460135814,12423.70139,114.21913645932962,49621.563400000006,54.654444077529227,49841.289880000004,-65.592208386576644,49639.873940000005,174.34532748035821,0,0,0,0,0,0,324.09408000000002,-14.501561794761137,268.70512000000002,-130.32498008045707,342.86224000000004,97.998701279176004,230.71104000000003,1.7876283208081685,235.74640000000002,-121.30089480714659,222.01360000000003,120.92847224031155,41.198400000000007,-104.39291027283599,36.620800000000003,153.71884685564856,45.776000000000003,29.879749016072434,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.567000000,2014-01-28 23:00:16.567000000,2,22,4096,60.036999999999999,0.002,12423.70139,-5.4832060994019782,12460.322470000001,-125.29441063920844,12414.546120000001,114.41967168762541,49630.718670000002,54.877897617630254,49841.289880000004,-65.374484424426939,49639.873940000005,174.58024017636185,0,0,0,0,0,0,326.38288,-13.940063155532929,272.36720000000003,-130.42238290562929,351.10192000000001,98.537281606598981,230.71104000000003,2.1543213096918956,237.11968000000002,-120.90555392850632,222.92912000000001,121.04879337728903,41.198400000000007,-104.23248209019937,37.078560000000003,153.33496513291092,45.776000000000003,30.234982849053544,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.583000000,2014-01-28 23:00:16.583000000,2,22,4096,60.039000000000001,0.002,12423.70139,-5.2540229813496495,12460.322470000001,-125.0652275211561,12423.70139,114.63739564977512,49630.718670000002,55.095621579779966,49841.289880000004,-65.151030884325905,49639.873940000005,174.79796413851156,0,0,0,0,0,0,329.58720000000005,-13.934333577581622,267.78960000000001,-130.12444485216128,349.27088000000003,98.995647842703647,233.45760000000001,2.8074931961410341,239.86624000000003,-120.73366658996707,223.38688000000002,121.58737370471201,41.65616,-104.21529335634544,37.078560000000003,153.57560740686586,45.776000000000003,30.584487104083344,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.600000000,2014-01-28 23:00:16.600000000,2,22,4096,60.039999999999999,0.001,12423.70139,-5.0133807073947034,12460.322470000001,-124.83031482515246,12414.546120000001,114.89522665758399,49621.563400000006,55.324804697832292,49832.134610000001,-64.910388610370973,49639.873940000005,175.02714725656389,0,0,0,0,0,0,327.75616000000002,-13.940063155532929,267.78960000000001,-129.83223637664454,344.69328000000002,98.846678815969625,235.28864000000002,2.7960340402384176,239.40848000000003,-120.71074827816184,224.30240000000001,122.08584698647581,41.198400000000007,-104.02048770600096,36.620800000000003,154.20013140355846,45.776000000000003,30.899613891405298,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.617000000,2014-01-28 23:00:16.617000000,2,22,4096,60.036999999999999,-3.0000000000000001E-3,12423.70139,-4.7841975893423738,12460.322470000001,-124.60113170710014,12414.546120000001,115.13586893153894,49621.563400000006,55.565446971787239,49841.289880000004,-64.675475914367325,49639.873940000005,175.26778953051883,0,0,0,0,0,0,326.38288,-13.773905394944991,267.78960000000001,-129.29365604922157,341.03120000000001,98.726357678992159,232.54208000000003,2.4293410513546907,236.20416000000003,-120.65345249864876,223.38688000000002,122.0056328951575,41.198400000000007,-104.02048770600096,36.620800000000003,154.4980694570265,46.233760000000004,30.899613891405298,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.633000000,2014-01-28 23:00:16.633000000,2,22,4096,60.036000000000001,-0.001,12423.70139,-4.5607440492413529,12460.322470000001,-124.3719485890478,12414.546120000001,115.35932247163996,49621.563400000006,55.788900511888258,49841.289880000004,-64.46348153016892,49639.873940000005,175.48551349266856,0,0,0,0,0,0,325.46736000000004,-13.424401139915188,265.50080000000003,-129.1045799768284,341.94672000000003,98.835219660067011,230.71104000000003,2.8074931961410341,236.20416000000003,-120.16070879483625,222.47136,122.02855120696273,41.198400000000007,-103.55066231399368,36.620800000000003,154.57828354834481,45.776000000000003,31.105878697652393,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.650000000,2014-01-28 23:00:16.650000000,2,22,4096,60.034999999999997,-0.001,12423.70139,-4.3544792429942571,12460.322470000001,-124.15422462689808,12423.70139,115.57704643378966,49621.563400000006,56.00662447403797,49841.289880000004,-64.234298412116601,49639.873940000005,175.70896703276958,0,0,0,0,0,0,328.21392000000003,-12.8056067211739,265.95856000000003,-128.95561095009438,339.65792000000005,99.098780245827186,231.16880000000003,3.2773185881483089,236.66192000000001,-120.00028061219962,222.47136,122.28638221477161,41.198400000000007,-103.06364818813249,36.620800000000003,155.05956809625471,45.776000000000003,31.335061815704723,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.667000000,2014-01-28 23:00:16.667000000,2,22,4096,60.036000000000001,0.001,12423.70139,-4.1424848587958518,12460.322470000001,-123.93077108679707,12423.70139,115.76612250618284,49621.563400000006,56.207159702333762,49841.289880000004,-64.03376318382081,49639.873940000005,175.90950226106537,0,0,0,0,0,0,332.79152000000005,-12.851443344784366,264.58528000000001,-128.89258559263001,347.89760000000001,99.906650736961652,234.37312000000003,3.9591383643539886,240.32400000000001,-119.41013408321487,225.21792000000002,122.79631465243804,41.198400000000007,-102.97197494091155,36.620800000000003,154.80746666639715,45.776000000000003,31.667377336880602,0,0,0,0,0,0,0,0,0,0,0,0,0
