,Unnamed: 0,chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
24,24,2014-01-28 18:00:13.983000000,2014-01-28 23:00:13.983000000,8,22,4096,60.036,-0.001,24801.62643,-39.06426247201953,24874.86859,-159.21351211095316,24938.95548,80.70683502212776,0,0,0,0,0,0,416.1038400000001,-87.87453703921436,442.65392,154.6470384837605,455.92896,30.905343469356605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,2014-01-28 18:00:14,2014-01-28 23:00:14,8,22,4096,60.037,0.001,24801.62643,-38.823620198064575,24874.86859,-158.97286983699823,24938.95548,80.94747729608271,0,0,0,0,0,0,416.1038400000001,-87.5536806739411,443.11168,154.8361145561537,455.01344000000006,31.09441954174978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,2014-01-28 18:00:14.017000000,2014-01-28 23:00:14.017000000,8,22,4096,60.032,-0.005,24801.62643,-39.06426247201953,24874.86859,-159.21351211095316,24938.95548,80.69537586622515,0,0,0,0,0,0,417.01936,-87.72556801248035,444.48496000000006,154.6355793278579,455.92896,30.905343469356605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,2014-01-28 18:00:14.033000000,2014-01-28 23:00:14.033000000,8,22,4096,59.987,-0.045,24801.62643,-38.8350793539672,24874.86859,-158.98432899290083,24938.95548,80.92455898427747,0,0,0,0,0,0,413.81504,-87.76567505813951,441.7384,155.0080018946929,455.4712,31.008475872480155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,2014-01-28 18:00:14.050000000,2014-01-28 23:00:14.050000000,8,22,4096,60.013,0.026,24801.62643,-38.611625813866176,24874.86859,-158.7608754527998,24938.95548,81.1480125243785,0,0,0,0,0,0,419.7659200000001,-87.23282430866784,445.85824,155.1168638757678,458.21776000000006,31.53559704400051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,2014-01-28 18:00:14.067000000,2014-01-28 23:00:14.067000000,8,22,4096,60.048,0.035,24801.62643,-38.393901851716464,24874.86859,-158.55461064655273,24929.80021,81.36000690857689,0,0,0,0,0,0,419.7659200000001,-87.12396232759298,444.94272,155.3403174158688,458.21776000000006,31.804887207712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,2014-01-28 18:00:14.083000000,2014-01-28 23:00:14.083000000,8,22,4096,60.029,-0.019,24801.62643,-38.18190746751806,24874.86859,-158.3426162623543,24929.80021,81.57773087072661,0,0,0,0,0,0,418.8504,-86.8604017418328,445.40048,155.74711745041168,459.13328,31.96531539034863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,2014-01-28 18:00:14.100000000,2014-01-28 23:00:14.100000000,8,22,4096,60.036,0.007,24792.47116,-37.96418350536835,24874.86859,-158.1248923002046,24929.80021,81.79545483287633,0,0,0,0,0,0,419.7659200000001,-86.7057031371475,446.316,155.74711745041168,459.13328,32.09709568322872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,2014-01-28 18:00:14.117000000,2014-01-28 23:00:14.117000000,8,22,4096,60.037,0.001,24792.47116,-37.74072996526733,24874.86859,-157.89570918215227,24929.80021,82.00744921707474,0,0,0,0,0,0,421.1392,-86.2416073230915,448.14704000000006,156.06797381568495,459.59104,32.40649289259936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,2014-01-28 18:00:14.133000000,2014-01-28 23:00:14.133000000,8,22,4096,60.038,0.001,24792.47116,-37.511546847215,24874.86859,-157.67225564205123,24929.80021,82.24809149102968,0,0,0,0,0,0,415.18832,-86.49370875294908,442.65392,156.30861608963988,456.84448,32.27471259971927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,2014-01-28 18:00:14.150000000,2014-01-28 23:00:14.150000000,8,22,4096,60.037,-0.001,24792.47116,-37.31101161891921,24874.86859,-157.47172041375546,24929.80021,82.43716756342285,0,0,0,0,0,0,417.93488,-85.99523547118528,444.94272,156.33726397939645,456.38672,32.629946432700386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,2014-01-28 18:00:14.167000000,2014-01-28 23:00:14.167000000,8,22,4096,60.036,-0.001,24792.47116,-37.10474681267211,24865.713320000003,-157.25399645160576,24929.80021,82.66635068147518,0,0,0,0,0,0,416.1038400000001,-85.80042982084076,444.48496000000006,156.63520203286447,455.92896,32.727349257872625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,2014-01-28 18:00:14.183000000,2014-01-28 23:00:14.183000000,8,22,4096,60.034,-0.002,24792.47116,-36.881293272571085,24874.86859,-157.04200206740734,24929.80021,82.86688590977097,0,0,0,0,0,0,416.56160000000006,-85.65146079410675,444.0272000000001,157.08783869101782,457.7600000000001,33.139878870366815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,2014-01-28 18:00:14.200000000,2014-01-28 23:00:14.200000000,8,22,4096,60.035,0.001,24792.47116,-36.66356931042138,24865.713320000003,-156.812818949355,24929.80021,83.08460987192068,0,0,0,0,0,0,415.18832,-85.4050889422005,443.56944,157.00762459969948,455.01344000000006,33.1284197144642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,2014-01-28 18:00:14.217000000,2014-01-28 23:00:14.217000000,8,22,4096,60.037,0.002,24792.47116,-36.47449323802821,24865.713320000003,-156.61228372105924,24929.80021,83.29660425611907,0,0,0,0,0,0,417.93488,-84.8321311470697,447.68928000000005,157.46599083580415,457.7600000000001,33.535219749007084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,2014-01-28 18:00:14.233000000,2014-01-28 23:00:14.233000000,8,22,4096,60.035,-0.002,24792.47116,-36.23385096407326,24865.713320000003,-156.3945597589095,24929.80021,83.52578737417141,0,0,0,0,0,0,413.81504,-85.00401848560892,443.11168,157.67798522000257,455.92896,33.58678595056886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,2014-01-28 18:00:14.250000000,2014-01-28 23:00:14.250000000,8,22,4096,60.035,0.0,24792.47116,-36.02185657987486,24865.713320000003,-156.18256537471112,24920.64494,83.73778175836982,0,0,0,0,0,0,417.47712,-84.60294802901734,445.40048,157.74674015541825,456.84448,33.924831049696046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,2014-01-28 18:00:14.267000000,2014-01-28 23:00:14.267000000,8,22,4096,60.037,0.002,24792.47116,-35.81559177362776,24865.713320000003,-155.9648414125614,24920.64494,83.95550572051953,0,0,0,0,0,0,417.01936,-84.38522406686765,444.94272,157.9186274939575,455.92896,34.09671838823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
