chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:18.367000000,2014-01-28 23:00:18.367000000,12,22,4096,60.039999999999999,0.001,253362.94198000003,47.54976741790702,260403.34461000003,-71.980687802285331,255569.36205000003,169.32621719501219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.383000000,2014-01-28 23:00:18.383000000,12,22,4096,60.039999999999999,0,253372.09725000002,47.778950535959353,260430.81042000002,-71.751504684232998,255587.67259000003,169.54967073511321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.400000000,2014-01-28 23:00:18.400000000,12,22,4096,60.039000000000001,-0.001,253353.78671000001,48.008133654011679,260458.27623000002,-71.522321566180665,255578.51732000001,169.77885385316554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.417000000,2014-01-28 23:00:18.417000000,12,22,4096,60.036999999999999,-0.002,253335.47617000001,48.237316772064013,260449.12096000003,-71.31032718198226,255505.27516000002,169.99657781531525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.433000000,2014-01-28 23:00:18.433000000,12,22,4096,60.036000000000001,-0.001,253362.94198000003,48.455040734213725,260421.65515000004,-71.092603219832554,255496.11989000003,170.22576093336758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.450000000,2014-01-28 23:00:18.450000000,12,22,4096,60.036000000000001,0,253372.09725000002,48.689953430217358,260366.72353000002,-70.863420101780221,255514.43043000001,170.46640320732254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.467000000,2014-01-28 23:00:18.467000000,12,22,4096,60.036999999999999,0.001,253317.16563000003,48.90767739236707,260366.72353000002,-70.622777827825274,255532.74097000001,170.68985674742356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.483000000,2014-01-28 23:00:18.483000000,12,22,4096,60.037999999999997,0.001,253298.85509000003,49.136860510419403,260375.87880000003,-70.405053865675555,255514.43043000001,170.89612155367064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.500000000,2014-01-28 23:00:18.500000000,12,22,4096,60.039000000000001,0.001,253271.38928000003,49.366043628471729,260412.49988000002,-70.170141169671922,255523.58570000003,171.12530467172297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.517000000,2014-01-28 23:00:18.517000000,12,22,4096,60.036999999999999,-0.002,253317.16563000003,49.595226746524062,260430.81042000002,-69.952417207522217,255505.27516000002,171.36021736772662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
