phase_angle	Orig
-22.2277527	-22.80372025
-17.08074754	-20.64366936
-17.08074754	-15.54434498
-15.46468892	-15.27505482
-9.509018391	-13.96298147
-6.407092248	-7.964113352
-6.407092248	-4.795656745
-5.891510723	-4.543555315
-1.412900402	-4.033622878
3.360800131	0.108861981
13.06292718	4.97900324
14.24601498	14.63907167
15.12519608	15.91676755
16.49634119	16.97673947
19.72800933	21.22808631
20.46116184	22.24795118
24.3118876	25.81747825
32.75071267	34.39465644
32.75071267	34.66967618
35.76003938	37.38549613
38.68420046	40.31904004
42.15198654	43.70522061
43.17953727	45.04594185
43.17953727	45.30950244
46.6142345	48.22585762
48.49367033	49.944731
49.43670772	51.28545224
50.06135926	52.05894527
54.41954929	56.09829772
56.08570563	57.76560491
56.78781834	58.86568387
57.92453941	59.92565579
59.36915857	61.34659112
63.49526902	65.13957173
64.63159393	66.48602255
65.92735594	67.83820294
72.04758793	73.67664288
72.73024485	74.75953311
73.8065324	75.84815292
79.62926183	81.32562944
79.62926183	81.5949196
80.35712777	82.66635068
83.20744768	84.85504946
89.4583002	91.16904436
101.4218205	103.0350003
102.1058639	104.1293497
103.2239522	105.2294287
103.2239522	105.4872597
104.7326249	106.8795471
105.3148098	107.3952091
110.4240303	112.0361673
110.5145167	112.5747476
110.5145167	112.8554969
110.5145167	113.1247871
113.8722308	115.5197507
114.5785134	116.6198296
114.8881941	117.1698691
115.2905059	117.7084494
120.0977707	121.719154
123.6086382	125.208467
125.4869402	127.0763094
129.4763854	131.0583661
129.4763854	131.3391154
132.1614557	133.8085635
135.1407432	136.8452398
136.8232237	138.5068174
139.0884969	140.7356232
141.2732969	142.9758882
148.6156546	150.2982888
150.8478424	152.5958496
153.1620198	154.8647624
158.2995514	160.0271122
161.6656599	163.3789153
164.4401647	166.1864085
166.1744181	167.8594452
166.1283689	168.4266735
167.926184	169.8476088
170.4160338	172.0764146
-175.7163289	-174.1218739
-174.5377934	-173.0046062
-171.4675551	-169.8819863
-168.1554188	-166.5129944
-168.1554188	-166.2437043
-161.9442633	-160.3307798
-159.439633	-157.844143
-158.1525521	-156.6924978
-157.3934312	-155.8502499
-156.9910375	-155.2944808
-154.5398738	-153.0312975
-151.7857366	-150.2524522
-145.9403651	-144.3739052
-140.5991572	-138.9250766
-139.8398314	-138.0656399
-138.664793	-136.9139947
-136.3236637	-134.6622706
-125.8159777	-124.1714134
