chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:16.500000000,2014-01-28 23:00:16.500000000,8,22,4096,60.036999999999999,0,24765.005350000003,-6.4916118188322276,24819.936970000002,-126.64086145776587,24902.334400000003,113.28521525326637,0,0,0,0,0,0,415.64608000000004,-55.605554017446394,438.99184000000002,-172.96449919409292,454.09792000000004,63.569667369764844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.517000000,2014-01-28 23:00:16.517000000,8,22,4096,60.036000000000001,-0.001,24765.005350000003,-6.2738878566825145,24819.936970000002,-126.42313749561615,24902.334400000003,113.50866879336739,0,0,0,0,0,0,413.81504000000001,-55.473773724566307,437.61856000000006,-172.76396396579713,452.72464000000002,63.68998850674231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.533000000,2014-01-28 23:00:16.533000000,8,22,4096,60.034999999999997,-0.001,24765.005350000003,-6.06189347248411,24819.936970000002,-126.21114311141774,24893.17913,113.70920402166318,0,0,0,0,0,0,416.10384000000005,-55.152917359293049,439.44960000000003,-172.40300055486472,455.47120000000001,64.096788541285193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.550000000,2014-01-28 23:00:16.550000000,8,22,4096,60.034999999999997,0,24765.005350000003,-5.8441695103343969,24819.936970000002,-125.99341914926804,24893.17913,113.9269279838129,0,0,0,0,0,0,416.10384000000005,-54.940922975094644,438.99184000000002,-172.31132730764378,454.09792000000004,64.268675879824443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.567000000,2014-01-28 23:00:16.567000000,8,22,4096,60.034999999999997,0,24765.005350000003,-5.6321751261359925,24819.936970000002,-125.78142476506963,24893.17913,114.14465194596261,0,0,0,0,0,0,418.85040000000004,-54.642984921626613,441.73840000000001,-171.87014980539305,457.76000000000005,64.658287180513398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.583000000,2014-01-28 23:00:16.583000000,8,22,4096,60.034999999999997,0,24765.005350000003,-5.420180741937588,24819.936970000002,-125.57515995882254,24893.17913,114.35664633016101,0,0,0,0,0,0,417.01936000000001,-54.642984921626613,439.44960000000003,-171.84150191563651,455.92896000000002,64.738501271831723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.600000000,2014-01-28 23:00:16.600000000,8,22,4096,60.034999999999997,0,24755.850080000004,-5.2253750915931079,24819.936970000002,-125.37462473052675,24893.17913,114.5571815584568,0,0,0,0,0,0,420.22368000000006,-54.241914465035038,442.19616000000002,-171.44043145904493,459.13328000000001,65.179678774082447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.617000000,2014-01-28 23:00:16.617000000,8,22,4096,60.034999999999997,0,24755.850080000004,-5.0019215514920869,24819.936970000002,-125.14544161247441,24893.17913,114.77490552060651,0,0,0,0,0,0,418.39264000000003,-54.230455309132424,439.90736000000004,-171.43470188109362,456.84448000000003,65.2770815992547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.633000000,2014-01-28 23:00:16.633000000,8,22,4096,60.036999999999999,0.002,24755.850080000004,-4.7956567452449903,24819.936970000002,-124.94490638417862,24884.023860000001,114.969711170951,0,0,0,0,0,0,421.13920000000002,-53.863762320248696,442.65392000000003,-171.01071311269681,460.04880000000003,65.638045010187113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.650000000,2014-01-28 23:00:16.650000000,8,22,4096,60.036999999999999,0,24755.850080000004,-4.5607440492413529,24819.936970000002,-124.7157232661263,24893.17913,115.21608302285725,0,0,0,0,0,0,419.30816000000004,-53.623120046293749,440.82288000000005,-171.12530467172297,456.38672000000003,65.689611211748883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
