chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,DIModule01
2014-01-28 18:00:23.517000000,2014-01-28 23:00:23.517000000,4,22,4096,60.039999999999999,0.002,12780.756920000002,29.598999696458328,12734.980570000002,149.62792819841448,12725.8253,-90.332525980325599,114.89776000000001,-0.44117750225073393,177.15312,122.30930052657683,157.46944000000002,-117.6855311198711,0,0,0,0,0
2014-01-28 18:00:23.533000000,2014-01-28 23:00:23.533000000,4,22,4096,60.039999999999999,0,12771.601650000001,29.816723658608041,12734.980570000002,149.85711131646681,12725.8253,-90.103342862273266,114.44000000000001,-0.27501974166279514,176.69536000000002,122.51556533282394,157.46944000000002,-117.49072546952662,0,0,0,0,0
2014-01-28 18:00:23.550000000,2014-01-28 23:00:23.550000000,4,22,4096,60.039000000000001,-0.001,12780.756920000002,30.04590677666037,12734.980570000002,150.07483527861655,12725.8253,-89.89134847807486,114.89776000000001,7.4484513367007024E-2,177.61088000000001,122.7676667626815,157.9272,-117.21570572786382,0,0,0,0,0
2014-01-28 18:00:23.567000000,2014-01-28 23:00:23.567000000,4,22,4096,60.039000000000001,0,12771.601650000001,30.286549050615317,12734.980570000002,150.30974797462017,12725.8253,-89.662165360022527,114.89776000000001,0.23491269600363754,177.15312,122.99684988073383,158.38496000000001,-116.75160991380785,0,0,0,0,0
2014-01-28 18:00:23.583000000,2014-01-28 23:00:23.583000000,4,22,4096,60.036999999999999,-0.002,12771.601650000001,30.51000259071634,12734.980570000002,150.5389310926725,12725.8253,-89.432982241970208,114.89776000000001,0.56722821717951499,177.61088000000001,123.35781329166625,157.9272,-116.74015075790524,0,0,0,0,0
2014-01-28 18:00:23.600000000,2014-01-28 23:00:23.600000000,4,22,4096,60.036999999999999,0,12771.601650000001,30.739185708768666,12734.980570000002,150.76811421072483,12725.8253,-89.203799123917875,114.44000000000001,0.65890146440044672,177.15312,123.45521611683849,157.46944000000002,-116.60264088707385,0,0,0,0,0
2014-01-28 18:00:23.617000000,2014-01-28 23:00:23.617000000,4,22,4096,60.037999999999997,0.001,12771.601650000001,30.968368826820996,12734.980570000002,150.99729732877717,12725.8253,-88.963156849962928,114.44000000000001,0.86516627064754315,177.15312,123.69585839079343,157.46944000000002,-116.35053945721629,0,0,0,0,0
2014-01-28 18:00:23.633000000,2014-01-28 23:00:23.633000000,4,22,4096,60.037999999999997,0,12771.601650000001,31.197551944873325,12734.980570000002,151.2264804468295,12725.8253,-88.733973731910595,114.44000000000001,1.13445643435903,177.15312,124.00525560016408,157.46944000000002,-116.10416760531002,0,0,0,0,0
2014-01-28 18:00:23.650000000,2014-01-28 23:00:23.650000000,4,22,4096,60.039000000000001,0.001,12771.601650000001,31.426735062925655,12734.980570000002,151.45566356488183,12725.8253,-88.504790613858262,114.44000000000001,1.3349916626548182,177.61088000000001,124.20579082845987,157.46944000000002,-115.82341828569592,0,0,0,0,0
2014-01-28 18:00:23.667000000,2014-01-28 23:00:23.667000000,4,22,4096,60.039000000000001,0,12780.756920000002,31.655918180977984,12734.980570000002,151.68484668293414,12725.8253,-88.281337073757243,114.89776000000001,1.6673071838306956,177.15312,124.38913732290173,158.84272000000001,-115.51402107632528,0,0,0,0,0
2014-01-28 18:00:23.683000000,2014-01-28 23:00:23.683000000,4,22,4096,60.037999999999997,-0.001,12780.756920000002,31.885101299030314,12734.980570000002,151.9254889568891,12725.8253,-88.052153955704924,114.89776000000001,1.9079494577856415,177.61088000000001,124.72718242202892,157.9272,-115.2504604905651,0,0,0,0,0
2014-01-28 18:00:23.700000000,2014-01-28 23:00:23.700000000,4,22,4096,60.037999999999997,0,12771.601650000001,32.125743572985257,12734.980570000002,152.16613123084403,12725.8253,-87.800052525847349,114.44000000000001,1.8678424121264838,177.15312,124.89906976056817,157.46944000000002,-115.23327175671118,0,0,0,0,0
2014-01-28 18:00:23.717000000,2014-01-28 23:00:23.717000000,4,22,4096,60.039999999999999,0.002,12771.601650000001,32.366385846940204,12734.980570000002,152.39531434889636,12725.8253,-87.565139829843716,114.44000000000001,2.2746424466693682,177.15312,125.11679372271787,157.46944000000002,-114.92387454734053,0,0,0,0,0
2014-01-28 18:00:23.733000000,2014-01-28 23:00:23.733000000,4,22,4096,60.039999999999999,0,12771.601650000001,32.595568964992538,12734.980570000002,152.63595662285132,12725.8253,-87.330227133840083,114.44000000000001,2.2058875112536693,176.69536000000002,125.15690076837703,157.46944000000002,-114.82074214421698,0,0,0,0,0
2014-01-28 18:00:23.750000000,2014-01-28 23:00:23.750000000,4,22,4096,60.039000000000001,-0.001,12771.601650000001,32.824752083044864,12734.980570000002,152.85941016295234,12725.8253,-87.10104401578775,114.89776000000001,2.7788453063844929,177.15312,125.65537405014085,157.9272,-114.37383506401494,0,0,0,0,0
2014-01-28 18:00:23.767000000,2014-01-28 23:00:23.767000000,4,22,4096,60.039999999999999,0.001,12780.756920000002,33.065394356999811,12734.980570000002,153.10578201485859,12725.8253,-86.860401741832803,114.89776000000001,2.8189523520436506,177.15312,125.77569518711832,158.38496000000001,-114.2134068813783,0,0,0,0,0
